id,name,height,label
214,David,178,:Dipendent
215,David,154,:Dipendent
216,David,195,:Employee
217,Charlie,165,:Dipendent
218,Alice,187,:Employee
219,Bob,175,:Dipendent
220,Luca,156,:Dipendent
221,Charlie,187,:User
222,Charlie,160,:User
223,Alice,191,:Dipendent
224,Bob,156,:Boss
225,Alice,172,:Employee
226,Charlie,150,:User
227,David,158,:Dipendent
228,Alice,180,:Employee
229,Charlie,156,:Employee
230,Alice,195,:Employee
231,Alice,185,:Dipendent
232,Bob,152,:Employee
233,Bob,191,:Dipendent
234,David,171,:Employee
235,Luca,151,:Employee
236,Alice,156,:Dipendent
237,David,200,:Dipendent
238,David,165,:Dipendent
239,David,159,:Dipendent
240,Alice,165,:Employee
241,Alice,165,:Employee
242,Charlie,199,:Dipendent
243,Luca,172,:Employee
244,Bob,174,:Employee
245,Alice,157,:Dipendent
246,Charlie,151,:User
247,Bob,200,:Dipendent
248,David,166,:Boss
249,Charlie,189,:Dipendent
250,Alice,191,:User
251,Charlie,178,:User
252,David,188,:Dipendent
253,Charlie,154,:Boss
254,David,168,:Boss
255,Alice,184,:Boss
256,Alice,174,:Employee
257,Charlie,164,:Employee
258,Charlie,185,:Employee
259,Charlie,167,:Employee
260,Luca,192,:User
261,David,176,:Employee
262,Bob,182,:User
263,Charlie,185,:Dipendent
264,Bob,174,:User
265,Luca,198,:Boss
266,Luca,153,:Dipendent
267,David,200,:Dipendent
268,David,184,:User
269,Bob,197,:Boss
270,Alice,172,:Boss
271,Alice,199,:Dipendent
272,David,167,:User
273,Charlie,175,:Boss
274,Bob,168,:User
275,Luca,195,:Employee
276,Bob,188,:Employee
277,David,198,:Boss
278,David,200,:Employee
279,Charlie,183,:Employee
280,Luca,188,:User
281,Luca,153,:Boss
282,Bob,156,:User
283,Alice,159,:Employee
284,Luca,191,:User
285,David,194,:User
286,Charlie,177,:Employee
287,Bob,189,:Boss
288,David,192,:Dipendent
289,Alice,196,:Employee
290,Luca,167,:Employee
291,David,198,:Employee
292,Bob,161,:Boss
293,Charlie,166,:Dipendent
294,Luca,197,:Dipendent
295,Luca,174,:Dipendent
296,Alice,199,:Employee
297,David,196,:Boss
298,Bob,164,:Dipendent
299,Charlie,164,:Boss
300,Luca,166,:Dipendent
301,Alice,190,:User
302,Charlie,159,:Dipendent
303,Luca,166,:Dipendent
304,Alice,185,:Dipendent
305,David,184,:Dipendent
306,Bob,180,:User
307,Bob,188,:Boss
308,Alice,177,:Dipendent
309,David,173,:Employee
310,Bob,157,:Dipendent
311,Luca,193,:Dipendent
312,Luca,182,:Dipendent
313,Charlie,155,:Dipendent
314,David,197,:Dipendent
315,David,170,:Employee
316,David,171,:User
317,Luca,200,:User
318,David,194,:Dipendent
319,Luca,195,:Dipendent
320,Charlie,173,:Dipendent
321,Bob,171,:Boss
322,Charlie,185,:Dipendent
323,Charlie,175,:Employee
324,Alice,158,:Boss
325,Bob,156,:Dipendent
326,Charlie,192,:User
327,David,188,:Employee
328,Luca,164,:Dipendent
329,Alice,160,:Boss
330,Alice,164,:Dipendent
331,Charlie,167,:Dipendent
332,Charlie,157,:Employee
333,Alice,170,:Dipendent
334,Alice,195,:Boss
335,Luca,166,:Boss
336,Alice,167,:User
337,David,178,:User
338,Charlie,161,:User
339,David,168,:Boss
340,Alice,171,:Boss
341,Luca,177,:Employee
342,David,152,:Dipendent
343,David,153,:User
344,David,186,:User
345,Charlie,195,:Employee
346,Alice,200,:User
347,David,196,:Dipendent
348,Bob,181,:Employee
349,Luca,150,:Employee
350,David,198,:User
351,Luca,195,:Boss
352,David,163,:User
353,Luca,161,:Employee
354,Charlie,189,:Dipendent
355,Luca,178,:Employee
356,Bob,187,:Boss
357,Charlie,154,:Boss
358,Alice,170,:User
359,Luca,171,:Employee
360,Charlie,169,:User
361,Charlie,177,:Boss
362,Charlie,187,:User
363,David,155,:Dipendent
364,Charlie,151,:Boss
365,Luca,195,:User
366,Bob,150,:User
367,David,186,:Employee
368,Alice,177,:Employee
369,David,162,:User
370,David,183,:Dipendent
371,Charlie,161,:Employee
372,Charlie,172,:Boss
373,Alice,194,:Employee
374,Charlie,154,:Employee
375,Alice,165,:Boss
376,Alice,168,:Dipendent
377,David,165,:Dipendent
378,Bob,199,:User
379,Alice,150,:Employee
380,Charlie,171,:Boss
381,Alice,156,:Dipendent
382,David,200,:Boss
383,David,190,:Employee
384,Luca,162,:Employee
385,Bob,153,:Dipendent
386,Alice,193,:Dipendent
387,David,165,:User
388,Luca,150,:Dipendent
389,David,167,:Dipendent
390,David,186,:User
391,Luca,177,:Employee
392,Bob,192,:Dipendent
393,David,166,:Employee
394,Charlie,180,:User
395,Bob,159,:Employee
396,Charlie,172,:User
397,Luca,171,:Employee
398,Bob,189,:Employee
399,Alice,179,:Employee
400,Luca,152,:Dipendent
401,Charlie,193,:Dipendent
402,David,184,:Boss
403,Charlie,199,:Employee
404,Charlie,180,:User
405,Charlie,183,:Boss
406,Luca,195,:Employee
407,Alice,160,:Dipendent
408,Luca,169,:Dipendent
409,David,168,:Boss
410,Charlie,158,:Boss
411,David,161,:Dipendent
412,David,156,:Dipendent
413,Charlie,193,:Employee
414,Alice,160,:Employee
415,Bob,171,:Employee
416,David,178,:Boss
417,Charlie,172,:Boss
418,Alice,193,:User
419,Charlie,166,:Boss
420,Luca,157,:Employee
421,Alice,151,:Boss
422,Charlie,151,:User
423,Bob,171,:Employee
424,Luca,177,:Employee
425,Bob,198,:Dipendent
426,Luca,193,:Boss
427,Alice,183,:User
428,Luca,163,:Dipendent
429,Bob,200,:Dipendent
430,David,194,:User
431,Bob,198,:Boss
432,Bob,153,:User
433,Charlie,195,:Employee
434,Charlie,169,:Employee
435,Alice,155,:User
436,Alice,187,:User
437,Alice,182,:Boss
438,Alice,151,:Employee
439,Bob,163,:Dipendent
440,Bob,185,:Boss
441,Alice,200,:Boss
442,Bob,169,:Employee
443,Luca,199,:Dipendent
444,Alice,154,:Employee
445,Alice,172,:Employee
446,Luca,172,:User
447,Alice,157,:Dipendent
448,David,175,:Dipendent
449,David,191,:Boss
450,Luca,197,:Employee
451,Luca,200,:User
452,David,200,:Employee
453,Alice,200,:Dipendent
454,David,194,:Employee
455,David,183,:Boss
456,Alice,166,:Dipendent
457,Alice,158,:Dipendent
458,Bob,169,:User
459,Luca,184,:Boss
460,David,177,:Dipendent
461,David,167,:Boss
462,Alice,151,:User
463,Charlie,181,:Boss
464,Luca,200,:Employee
465,David,177,:Employee
466,Bob,167,:User
467,David,157,:User
468,Charlie,178,:User
469,Bob,181,:Employee
470,Luca,151,:Employee
471,Bob,177,:User
472,Charlie,179,:Dipendent
473,Alice,178,:Boss
474,Charlie,171,:Employee
475,Charlie,188,:Dipendent
476,Alice,174,:User
477,Luca,176,:User
478,David,152,:Employee
479,Alice,150,:Employee
480,David,187,:Boss
481,Charlie,182,:User
482,Alice,185,:User
483,Alice,196,:Dipendent
484,Bob,162,:User
485,Luca,151,:Boss
486,David,199,:Dipendent
487,Alice,166,:Boss
488,David,164,:Dipendent
489,Alice,161,:Boss
490,Charlie,189,:Dipendent
491,Bob,200,:Employee
492,Bob,160,:Boss
493,Bob,172,:Employee
494,David,165,:Employee
495,David,162,:User
496,Luca,166,:Boss
497,Bob,194,:Boss
498,Alice,177,:Employee
499,Luca,168,:Dipendent
500,David,197,:Dipendent
501,Luca,190,:User
502,David,173,:Employee
503,Alice,150,:Employee
504,David,173,:User
505,Luca,161,:Employee
506,David,152,:Boss
507,Bob,170,:Dipendent
508,Alice,190,:Employee
509,David,163,:Dipendent
510,Alice,191,:Boss
511,Luca,185,:Boss
512,Bob,175,:Dipendent
513,Alice,198,:Dipendent
514,Luca,173,:User
515,Alice,161,:Employee
516,Luca,164,:Employee
517,Alice,180,:Dipendent
518,David,173,:Employee
519,Bob,159,:User
520,David,198,:User
521,Alice,177,:Dipendent
522,Luca,195,:Dipendent
523,Charlie,162,:User
524,David,176,:Employee
525,Bob,150,:Dipendent
526,Charlie,172,:Dipendent
527,Charlie,156,:Dipendent
528,Charlie,173,:Boss
529,Luca,199,:Employee
530,Alice,200,:Boss
531,David,172,:Employee
532,Bob,156,:Boss
533,David,199,:Dipendent
534,Charlie,174,:User
535,Alice,180,:Employee
536,Luca,151,:Boss
537,David,191,:Employee
538,Alice,167,:Dipendent
539,Alice,196,:User
540,Alice,162,:Employee
541,Charlie,159,:User
542,Charlie,196,:Boss
543,Luca,195,:Employee
544,Alice,180,:User
545,David,199,:Boss
546,Charlie,160,:Boss
547,Alice,153,:User
548,Bob,183,:Dipendent
549,Bob,196,:Employee
550,Bob,176,:Boss
551,Charlie,196,:Dipendent
552,Charlie,155,:Boss
553,Luca,150,:Employee
554,Alice,192,:Boss
555,Luca,156,:Employee
556,Bob,169,:User
557,David,150,:Dipendent
558,David,184,:Boss
559,Bob,165,:Boss
560,David,194,:Dipendent
561,Charlie,167,:Employee
562,Charlie,185,:User
563,Alice,176,:Employee
564,Bob,164,:User
565,Bob,173,:Boss
566,David,159,:User
567,Alice,172,:Employee
568,David,178,:Employee
569,Luca,168,:Dipendent
570,Bob,163,:Boss
571,Charlie,200,:Dipendent
572,David,162,:User
573,David,169,:Employee
574,Bob,191,:Dipendent
575,David,181,:Dipendent
576,Alice,163,:User
577,Charlie,198,:Dipendent
578,David,160,:User
579,Bob,186,:Dipendent
580,Alice,168,:Boss
581,Charlie,185,:Boss
582,Bob,179,:Boss
583,Charlie,155,:Dipendent
584,Luca,191,:Boss
585,Bob,200,:User
586,Luca,188,:User
587,Charlie,174,:User
588,Charlie,159,:Dipendent
589,Luca,200,:User
590,Bob,185,:Employee
591,Charlie,184,:Employee
592,Bob,188,:Employee
593,Luca,181,:Dipendent
594,Bob,163,:Employee
595,Charlie,199,:Boss
596,Charlie,160,:Dipendent
597,Alice,181,:Employee
598,Luca,182,:Dipendent
599,Alice,192,:Boss
600,Alice,177,:Dipendent
601,Charlie,151,:User
602,Alice,188,:Boss
603,Bob,175,:User
604,Bob,179,:Boss
605,Bob,167,:Boss
606,Alice,168,:Employee
607,Charlie,171,:Boss
608,David,198,:Boss
609,Charlie,157,:User
610,Luca,188,:Dipendent
611,Bob,179,:Boss
612,Luca,166,:Dipendent
613,Bob,178,:Boss
614,Bob,195,:Employee
615,Luca,181,:User
616,Alice,160,:Dipendent
617,David,172,:Dipendent
618,Luca,164,:User
619,Bob,170,:Employee
620,Charlie,164,:User
621,Charlie,181,:Boss
622,Alice,152,:Dipendent
623,Luca,167,:Employee
624,Alice,181,:Dipendent
625,Alice,182,:Employee
626,Luca,192,:User
627,Alice,197,:Dipendent
628,Luca,175,:Dipendent
629,Bob,160,:Boss
630,Luca,194,:User
631,David,152,:Employee
632,Alice,186,:Dipendent
633,Bob,182,:Employee
634,Bob,165,:Boss
635,Charlie,189,:Dipendent
636,Alice,170,:Boss
637,Bob,176,:User
638,Luca,151,:Boss
639,Bob,168,:Dipendent
640,Bob,160,:User
641,Luca,187,:Boss
642,Alice,179,:Dipendent
643,Charlie,176,:Boss
644,Alice,156,:User
645,Alice,189,:Dipendent
646,Bob,180,:Boss
647,Bob,189,:Dipendent
648,Charlie,163,:User
649,Bob,191,:Boss
650,David,193,:Dipendent
651,Charlie,182,:Employee
652,Charlie,190,:User
653,Alice,167,:User
654,Alice,181,:User
655,Luca,188,:User
656,Charlie,169,:Boss
657,Alice,164,:Boss
658,Charlie,197,:Employee
659,Bob,189,:Dipendent
660,Charlie,151,:Dipendent
661,Charlie,178,:User
662,Luca,196,:Employee
663,Alice,190,:Dipendent
664,Bob,190,:Boss
665,Charlie,185,:Dipendent
666,Charlie,191,:Dipendent
667,Charlie,175,:Employee
668,Charlie,163,:Boss
669,Bob,156,:Boss
670,David,173,:Boss
671,David,172,:Employee
672,Charlie,191,:User
673,Luca,181,:User
674,Alice,168,:Dipendent
675,Luca,159,:Employee
676,Luca,167,:Dipendent
677,Charlie,172,:User
678,Luca,186,:User
679,Bob,198,:Boss
680,Alice,197,:Employee
681,David,150,:User
682,David,191,:User
683,Alice,183,:Dipendent
684,Bob,166,:Boss
685,Alice,198,:User
686,Bob,190,:Employee
687,Bob,160,:Employee
688,Alice,199,:Boss
689,David,175,:User
690,Charlie,152,:Dipendent
691,Charlie,182,:Boss
692,Bob,165,:Employee
693,Alice,174,:Boss
694,Charlie,196,:Boss
695,Alice,169,:Employee
696,Alice,155,:Boss
697,Charlie,193,:Dipendent
698,Luca,182,:User
699,Charlie,185,:Boss
700,Bob,183,:User
701,Alice,174,:Boss
702,Charlie,156,:User
703,Luca,167,:User
704,Luca,165,:Employee
705,Bob,191,:Boss
706,Luca,179,:User
707,David,171,:Employee
708,Luca,165,:Employee
709,Bob,196,:Boss
710,Bob,159,:User
711,Alice,152,:Boss
712,Luca,175,:Boss
713,Luca,168,:User
714,Alice,163,:User
715,Charlie,150,:Dipendent
716,Luca,178,:Boss
717,David,186,:User
718,Charlie,183,:User
719,David,192,:User
720,Luca,188,:Employee
721,Luca,198,:Dipendent
722,Bob,178,:Employee
723,Charlie,193,:User
724,Bob,192,:Dipendent
725,David,194,:User
726,Charlie,194,:Boss
727,David,196,:User
728,Luca,191,:User
729,Charlie,162,:Employee
730,Alice,167,:Employee
731,Luca,190,:Employee
732,Luca,177,:Employee
733,Alice,185,:Employee
734,Charlie,182,:Dipendent
735,Luca,180,:Dipendent
736,Bob,197,:Employee
737,Charlie,182,:Employee
738,Charlie,184,:Boss
739,David,192,:User
740,Alice,176,:User
741,David,169,:Employee
742,Charlie,200,:Dipendent
743,Bob,192,:Boss
744,Charlie,189,:Dipendent
745,Bob,152,:Boss
746,Alice,183,:Dipendent
747,Luca,158,:Employee
748,Bob,162,:Boss
749,Bob,178,:Employee
750,Luca,198,:User
751,Alice,183,:Boss
752,Bob,156,:Employee
753,Alice,171,:Dipendent
754,Luca,168,:Employee
755,Alice,165,:User
756,Alice,180,:Dipendent
757,Charlie,156,:Dipendent
758,Bob,188,:Boss
759,David,191,:Boss
760,Bob,151,:Employee
761,Bob,187,:Employee
762,Alice,186,:Dipendent
763,Charlie,150,:Dipendent
764,Alice,189,:Boss
765,Luca,184,:Dipendent
766,Alice,189,:Employee
767,David,174,:Dipendent
768,Luca,198,:Boss
769,Charlie,167,:Boss
770,Luca,175,:Dipendent
771,David,196,:Dipendent
772,Charlie,198,:Boss
773,Alice,156,:Dipendent
774,Alice,162,:Employee
775,Alice,154,:Employee
776,Luca,185,:User
777,Alice,162,:User
778,Bob,193,:Dipendent
779,Bob,190,:Dipendent
780,Bob,179,:Employee
781,Luca,183,:User
782,Luca,159,:Employee
783,Alice,163,:Dipendent
784,Luca,164,:Employee
785,Bob,181,:Boss
786,Bob,177,:Boss
787,Bob,159,:User
788,Bob,156,:Boss
789,Bob,182,:Employee
790,Charlie,174,:User
791,Bob,160,:Employee
792,David,150,:Boss
793,Alice,156,:Employee
794,Bob,152,:User
795,Alice,152,:User
796,Luca,190,:Employee
797,Luca,177,:Dipendent
798,Bob,162,:Employee
799,Charlie,194,:Boss
800,Charlie,186,:Boss
801,David,165,:User
802,Bob,200,:Employee
803,David,162,:User
804,Bob,184,:Boss
805,Charlie,175,:Dipendent
806,David,189,:Employee
807,Charlie,161,:Boss
808,Luca,177,:User
809,David,154,:Dipendent
810,Charlie,183,:Boss
811,David,190,:Dipendent
812,Bob,157,:Boss
813,Charlie,170,:Dipendent
814,Charlie,191,:Dipendent
815,Bob,183,:User
816,Alice,150,:Dipendent
817,David,171,:Employee
818,Luca,153,:Boss
819,Bob,178,:User
820,Alice,151,:Dipendent
821,Charlie,173,:Employee
822,Alice,176,:Dipendent
823,David,186,:User
824,Luca,183,:Employee
825,Alice,169,:Dipendent
826,David,198,:Dipendent
827,Alice,180,:User
828,Bob,171,:Boss
829,Luca,180,:Boss
830,David,150,:User
831,Charlie,195,:Boss
832,Luca,200,:Employee
833,Luca,191,:Dipendent
834,Alice,180,:Employee
835,Luca,150,:Employee
836,Charlie,177,:Boss
837,Alice,173,:Boss
838,Luca,199,:User
839,David,156,:Employee
840,Alice,200,:Dipendent
841,Luca,187,:Dipendent
842,Luca,182,:Boss
843,David,191,:User
844,Alice,158,:Boss
845,David,175,:Boss
846,Charlie,174,:Employee
847,Alice,154,:Boss
848,Alice,187,:User
849,David,198,:User
850,Charlie,167,:Employee
851,Charlie,195,:User
852,Charlie,153,:Employee
853,Bob,169,:Dipendent
854,Charlie,153,:Dipendent
855,Charlie,163,:Boss
856,Bob,193,:Dipendent
857,Charlie,188,:Employee
858,Bob,179,:Employee
859,Bob,187,:Boss
860,Luca,166,:Dipendent
861,Luca,165,:Boss
862,Alice,180,:User
863,David,184,:Employee
864,David,192,:Dipendent
865,Alice,157,:Boss
866,David,158,:Employee
867,David,194,:Dipendent
868,Luca,161,:Employee
869,Luca,185,:Employee
870,Alice,170,:Dipendent
871,Alice,164,:User
872,David,181,:Dipendent
873,Charlie,176,:Employee
874,Alice,189,:Boss
875,Charlie,177,:Boss
876,Alice,167,:User
877,Luca,181,:User
878,Luca,173,:Dipendent
879,Charlie,154,:User
880,Alice,173,:Boss
881,Charlie,169,:User
882,Bob,188,:User
883,Luca,155,:Boss
884,Luca,167,:Employee
885,Bob,200,:Dipendent
886,Charlie,165,:User
887,Charlie,156,:Boss
888,David,161,:User
889,Luca,156,:Boss
890,Luca,155,:Dipendent
891,David,173,:Dipendent
892,Charlie,199,:User
893,Bob,162,:User
894,Bob,171,:User
895,Bob,167,:User
896,Alice,156,:Boss
897,Luca,197,:Dipendent
898,Alice,156,:User
899,David,197,:Employee
900,Luca,152,:Boss
901,Luca,167,:Dipendent
902,Charlie,180,:User
903,Bob,196,:User
904,David,191,:Boss
905,David,152,:Dipendent
906,Bob,182,:User
907,David,197,:User
908,David,150,:Boss
909,David,192,:User
910,David,175,:Dipendent
911,Luca,199,:Dipendent
912,Bob,154,:User
913,David,156,:Dipendent
914,David,159,:User
915,Bob,154,:Dipendent
916,Bob,165,:Dipendent
917,Alice,183,:Dipendent
918,Alice,186,:User
919,Luca,188,:User
920,Bob,168,:Employee
921,David,182,:Dipendent
922,Bob,151,:Employee
923,Luca,150,:Employee
924,Charlie,191,:Boss
925,Luca,193,:Boss
926,Charlie,173,:User
927,Alice,162,:Employee
928,Charlie,182,:Employee
929,Luca,162,:Boss
930,Charlie,150,:Boss
931,Alice,174,:Dipendent
932,Bob,173,:Employee
933,Bob,177,:Dipendent
934,Bob,183,:Boss
935,Charlie,154,:Dipendent
936,Luca,168,:Employee
937,Luca,183,:User
938,Luca,167,:User
939,Luca,198,:Dipendent
940,Bob,165,:Dipendent
941,Luca,196,:Employee
942,David,186,:User
943,Charlie,190,:Boss
944,David,188,:Boss
945,Luca,166,:User
946,Charlie,151,:Employee
947,David,185,:Boss
948,Alice,173,:User
949,David,176,:Boss
950,Luca,157,:Employee
951,David,184,:Dipendent
952,Luca,161,:Dipendent
953,Alice,190,:User
954,Charlie,197,:Boss
955,Bob,170,:Employee
956,Charlie,154,:Boss
957,David,171,:Employee
958,Luca,184,:Dipendent
959,Bob,198,:Employee
960,Luca,200,:Employee
961,Bob,191,:Dipendent
962,Alice,169,:Boss
963,Luca,182,:Employee
964,Luca,157,:Employee
965,Luca,176,:Employee
966,Alice,166,:Boss
967,Alice,173,:Employee
968,Bob,176,:User
969,Bob,168,:Dipendent
970,Charlie,172,:User
971,David,178,:User
972,David,180,:Dipendent
973,Charlie,188,:Dipendent
974,David,192,:Dipendent
975,Alice,178,:User
976,Luca,163,:Dipendent
977,Alice,198,:Boss
978,Charlie,190,:Dipendent
979,Alice,162,:Dipendent
980,Alice,166,:User
981,Alice,156,:Employee
982,David,169,:User
983,Bob,162,:Employee
984,Luca,177,:Dipendent
985,Alice,158,:Employee
986,Alice,176,:Dipendent
987,Luca,183,:Boss
988,Bob,177,:User
989,David,164,:Boss
990,Bob,168,:Boss
991,Luca,162,:Employee
992,Alice,189,:User
993,Alice,189,:User
994,Charlie,197,:Dipendent
995,David,193,:Boss
996,Charlie,177,:User
997,Charlie,166,:Employee
998,Charlie,156,:User
999,Charlie,174,:Employee
1000,Luca,162,:Boss
1001,David,193,:Dipendent
1002,Charlie,167,:Employee
1003,Bob,192,:Boss
1004,Luca,177,:Employee
1005,Bob,191,:Employee
1006,David,159,:Boss
1007,Luca,197,:Employee
1008,Alice,175,:Employee
1009,Bob,159,:Boss
1010,Charlie,160,:Boss
1011,Luca,195,:Dipendent
1012,Charlie,193,:Boss
1013,David,198,:Boss
1014,Charlie,173,:Dipendent
1015,Alice,194,:User
1016,David,167,:Employee
1017,Bob,170,:Dipendent
1018,Charlie,185,:Employee
1019,Alice,188,:Employee
1020,Bob,167,:User
1021,Charlie,165,:Employee
1022,Luca,195,:Employee
1023,Charlie,195,:Boss
1024,Charlie,151,:Employee
1025,Alice,163,:Boss
1026,Alice,172,:Dipendent
1027,Luca,178,:Employee
1028,David,197,:Employee
1029,David,185,:Boss
1030,Luca,165,:User
1031,Charlie,150,:User
1032,Alice,156,:Employee
1033,Luca,151,:Dipendent
1034,Bob,175,:User
1035,Bob,181,:Boss
1036,David,183,:Dipendent
1037,Alice,164,:User
1038,David,173,:Employee
1039,David,183,:Boss
1040,Charlie,178,:User
1041,Charlie,169,:Employee
1042,Charlie,174,:User
1043,Luca,185,:Boss
1044,Bob,175,:Employee
1045,Alice,165,:Boss
1046,Luca,175,:User
1047,Bob,195,:Boss
1048,Bob,195,:Employee
1049,Alice,159,:Dipendent
1050,Luca,178,:User
1051,Luca,164,:Dipendent
1052,Charlie,185,:Employee
1053,David,158,:User
1054,Charlie,154,:Boss
1055,Bob,200,:Dipendent
1056,Bob,155,:User
1057,Luca,170,:Dipendent
1058,David,169,:Employee
1059,David,176,:User
1060,Bob,199,:Boss
1061,Alice,178,:Boss
1062,Charlie,188,:Employee
1063,Luca,160,:User
1064,Charlie,172,:User
1065,Alice,171,:Boss
1066,Luca,190,:User
1067,Bob,185,:Boss
1068,Bob,194,:User
1069,Charlie,166,:Employee
1070,Bob,159,:Employee
1071,Charlie,150,:Dipendent
1072,Alice,183,:Dipendent
1073,Luca,154,:User
1074,Charlie,151,:Employee
1075,Bob,171,:Dipendent
1076,Luca,180,:Employee
1077,Bob,152,:Employee
1078,David,156,:User
1079,Luca,186,:User
1080,David,176,:Dipendent
1081,Alice,152,:Dipendent
1082,Charlie,181,:Dipendent
1083,Bob,195,:Employee
